
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
RecVAE_watchstep_exp2
After filtering
============================================
5154471 events from 31360 users & 6807 movies
sparsity: 2.415%
Before shuffling
================
Index([    11,     14,     18,     25,     31,     35,     43,     50,     58,
           60,
       ...
       138459, 138461, 138470, 138471, 138472, 138473, 138475, 138486, 138492,
       138493],
      dtype='int64', name='user', length=31360)
After shuffling
================
Index([ 81259,  11986,  67552, 127325, 115853,   5192,  93410, 124003,    422,
       115657,
       ...
        27377,  96934,  49486,  52439,  94582, 131351,  23478,   3671,  69383,
       103755],
      dtype='int64', name='user', length=31360)
# of all users: 31360
# of train users: 25360
# of validation users: 3000
# of test users: 3000
0 users sampled
1000 users sampled
2000 users sampled
0 users sampled
1000 users sampled
2000 users sampled
epoch 0 | valid ndcg@100: 0.2678 | best valid: 0.2678 | train ndcg@100: 0.4970
epoch 1 | valid ndcg@100: 0.3791 | best valid: 0.3791 | train ndcg@100: 0.5977
epoch 2 | valid ndcg@100: 0.4079 | best valid: 0.4079 | train ndcg@100: 0.6299
epoch 3 | valid ndcg@100: 0.4183 | best valid: 0.4183 | train ndcg@100: 0.6444
epoch 4 | valid ndcg@100: 0.4274 | best valid: 0.4274 | train ndcg@100: 0.6539
epoch 5 | valid ndcg@100: 0.4339 | best valid: 0.4339 | train ndcg@100: 0.6613
epoch 6 | valid ndcg@100: 0.4389 | best valid: 0.4389 | train ndcg@100: 0.6677
epoch 7 | valid ndcg@100: 0.4421 | best valid: 0.4421 | train ndcg@100: 0.6733
epoch 8 | valid ndcg@100: 0.4459 | best valid: 0.4459 | train ndcg@100: 0.6776
epoch 9 | valid ndcg@100: 0.4485 | best valid: 0.4485 | train ndcg@100: 0.6805
epoch 10 | valid ndcg@100: 0.4497 | best valid: 0.4497 | train ndcg@100: 0.6843
epoch 11 | valid ndcg@100: 0.4520 | best valid: 0.4520 | train ndcg@100: 0.6873
epoch 12 | valid ndcg@100: 0.4541 | best valid: 0.4541 | train ndcg@100: 0.6900
epoch 13 | valid ndcg@100: 0.4551 | best valid: 0.4551 | train ndcg@100: 0.6927
epoch 14 | valid ndcg@100: 0.4567 | best valid: 0.4567 | train ndcg@100: 0.6955
epoch 15 | valid ndcg@100: 0.4579 | best valid: 0.4579 | train ndcg@100: 0.6975
epoch 16 | valid ndcg@100: 0.4592 | best valid: 0.4592 | train ndcg@100: 0.6992
epoch 17 | valid ndcg@100: 0.4588 | best valid: 0.4592 | train ndcg@100: 0.7015
epoch 18 | valid ndcg@100: 0.4607 | best valid: 0.4607 | train ndcg@100: 0.7038
epoch 19 | valid ndcg@100: 0.4613 | best valid: 0.4613 | train ndcg@100: 0.7051
epoch 20 | valid ndcg@100: 0.4620 | best valid: 0.4620 | train ndcg@100: 0.7067
epoch 21 | valid ndcg@100: 0.4620 | best valid: 0.4620 | train ndcg@100: 0.7084
epoch 22 | valid ndcg@100: 0.4633 | best valid: 0.4633 | train ndcg@100: 0.7106
epoch 23 | valid ndcg@100: 0.4636 | best valid: 0.4636 | train ndcg@100: 0.7119
epoch 24 | valid ndcg@100: 0.4635 | best valid: 0.4636 | train ndcg@100: 0.7134
epoch 25 | valid ndcg@100: 0.4641 | best valid: 0.4641 | train ndcg@100: 0.7145
epoch 26 | valid ndcg@100: 0.4641 | best valid: 0.4641 | train ndcg@100: 0.7154
epoch 27 | valid ndcg@100: 0.4643 | best valid: 0.4643 | train ndcg@100: 0.7170
epoch 28 | valid ndcg@100: 0.4645 | best valid: 0.4645 | train ndcg@100: 0.7182
epoch 29 | valid ndcg@100: 0.4652 | best valid: 0.4652 | train ndcg@100: 0.7193
epoch 30 | valid ndcg@100: 0.4656 | best valid: 0.4656 | train ndcg@100: 0.7203
epoch 31 | valid ndcg@100: 0.4656 | best valid: 0.4656 | train ndcg@100: 0.7214
epoch 32 | valid ndcg@100: 0.4663 | best valid: 0.4663 | train ndcg@100: 0.7226
epoch 33 | valid ndcg@100: 0.4661 | best valid: 0.4663 | train ndcg@100: 0.7233
epoch 34 | valid ndcg@100: 0.4663 | best valid: 0.4663 | train ndcg@100: 0.7244
epoch 35 | valid ndcg@100: 0.4661 | best valid: 0.4663 | train ndcg@100: 0.7254
epoch 36 | valid ndcg@100: 0.4666 | best valid: 0.4666 | train ndcg@100: 0.7260
epoch 37 | valid ndcg@100: 0.4667 | best valid: 0.4667 | train ndcg@100: 0.7264
epoch 38 | valid ndcg@100: 0.4679 | best valid: 0.4679 | train ndcg@100: 0.7269
epoch 39 | valid ndcg@100: 0.4669 | best valid: 0.4679 | train ndcg@100: 0.7274
epoch 40 | valid ndcg@100: 0.4672 | best valid: 0.4679 | train ndcg@100: 0.7282
epoch 41 | valid ndcg@100: 0.4675 | best valid: 0.4679 | train ndcg@100: 0.7287
epoch 42 | valid ndcg@100: 0.4673 | best valid: 0.4679 | train ndcg@100: 0.7298
epoch 43 | valid ndcg@100: 0.4677 | best valid: 0.4679 | train ndcg@100: 0.7299
epoch 44 | valid ndcg@100: 0.4676 | best valid: 0.4679 | train ndcg@100: 0.7302
epoch 45 | valid ndcg@100: 0.4673 | best valid: 0.4679 | train ndcg@100: 0.7303
epoch 46 | valid ndcg@100: 0.4672 | best valid: 0.4679 | train ndcg@100: 0.7302
epoch 47 | valid ndcg@100: 0.4668 | best valid: 0.4679 | train ndcg@100: 0.7306
epoch 48 | valid ndcg@100: 0.4675 | best valid: 0.4679 | train ndcg@100: 0.7307
epoch 49 | valid ndcg@100: 0.4676 | best valid: 0.4679 | train ndcg@100: 0.7311
epoch 50 | valid ndcg@100: 0.4672 | best valid: 0.4679 | train ndcg@100: 0.7310
epoch 51 | valid ndcg@100: 0.4667 | best valid: 0.4679 | train ndcg@100: 0.7318
epoch 52 | valid ndcg@100: 0.4675 | best valid: 0.4679 | train ndcg@100: 0.7319
epoch 53 | valid ndcg@100: 0.4676 | best valid: 0.4679 | train ndcg@100: 0.7327
epoch 54 | valid ndcg@100: 0.4672 | best valid: 0.4679 | train ndcg@100: 0.7327
epoch 55 | valid ndcg@100: 0.4676 | best valid: 0.4679 | train ndcg@100: 0.7331
epoch 56 | valid ndcg@100: 0.4671 | best valid: 0.4679 | train ndcg@100: 0.7339
epoch 57 | valid ndcg@100: 0.4670 | best valid: 0.4679 | train ndcg@100: 0.7333
epoch 58 | valid ndcg@100: 0.4676 | best valid: 0.4679 | train ndcg@100: 0.7337
epoch 59 | valid ndcg@100: 0.4674 | best valid: 0.4679 | train ndcg@100: 0.7342
epoch 60 | valid ndcg@100: 0.4673 | best valid: 0.4679 | train ndcg@100: 0.7341
epoch 61 | valid ndcg@100: 0.4676 | best valid: 0.4679 | train ndcg@100: 0.7347
epoch 62 | valid ndcg@100: 0.4685 | best valid: 0.4685 | train ndcg@100: 0.7360
epoch 63 | valid ndcg@100: 0.4674 | best valid: 0.4685 | train ndcg@100: 0.7354
epoch 64 | valid ndcg@100: 0.4683 | best valid: 0.4685 | train ndcg@100: 0.7367
epoch 65 | valid ndcg@100: 0.4677 | best valid: 0.4685 | train ndcg@100: 0.7365
